strategy,sample,coef,se,ci_lo,ci_hi
Within-day,Original (2013-2017),-0.053,0.016,-0.08436,-0.02164
Within-day,Replication (2013-2017),-0.072,0.016,-0.10336,-0.04064
Within-day,Extension (2013-2025),-0.081,0.01,-0.1006,-0.0614
Between-day,Original (2013-2017),-0.083,0.025,-0.132,-0.034
Between-day,Replication (2013-2017),-0.276,0.058,-0.38968,-0.16232
Between-day,Extension (2013-2025),-0.117,0.028,-0.17188,-0.06212
Spatio-temporal,Original (2013-2017),-0.044,0.05,-0.142,0.054
Spatio-temporal,Replication (2013-2017),-0.031,0.051,-0.13096,0.06896
Spatio-temporal,Extension (2013-2025),-0.074,0.03,-0.1328,-0.0152
Cyclist panel,Original (2013-2017),-0.026,0.005,-0.0358,-0.0162
Cyclist panel,Replication (2013-2017),-0.02,0.005,-0.0298,-0.0102
Cyclist panel,Extension (2013-2025),-0.022,0.003,-0.02788,-0.01612
